BayesianSearch: Testing config: {'weights1': 0.10263073845662996, 'weights2': 0.152335096776273, 'weights3': 0.3469351888199641, 'weights4': 0.6207044914034202} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.7774988027864671, 'weights2': 0.7159187325191956, 'weights3': 0.13412509538281525, 'weights4': 0.003626051271387376} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.27885764219832554, 'weights2': 0.2196178470986755, 'weights3': 0.984182388830105, 'weights4': 0.16808441996612955} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.3413109423875792, 'weights2': 0.6878711042084658, 'weights3': 0.8976029533686853, 'weights4': 0.8812085681526639} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.9910255482128776, 'weights2': 0.3654615706667802, 'weights3': 0.07062807989768194, 'weights4': 0.1486202994449043} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.34649292998490655, 'weights2': 0.2591966776823238, 'weights3': 0.13676031825711477, 'weights4': 0.46975561675823996} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.05966981373809099, 'weights2': 0.7022777825222043, 'weights3': 0.9354254290389303, 'weights4': 0.41436759067824225} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.4832797348321203, 'weights2': 0.8249698640253372, 'weights3': 0.46515300839001816, 'weights4': 0.4445331164307784} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.6302574229800821, 'weights2': 0.20695684963164662, 'weights3': 0.5872034170517271, 'weights4': 0.8676807628696422} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.17046852084158692, 'weights2': 0.7296900393549699, 'weights3': 0.5700396855834983, 'weights4': 0.23930311593677667} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.10795610776362463, 'weights2': 0.5472582461745914, 'weights3': 0.009625730737330418, 'weights4': 0.8934875745221709} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.3028465415902617, 'weights2': 0.5036972485128202, 'weights3': 0.8874029363994427, 'weights4': 0.28540515189826354} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.42472351311011936, 'weights2': 0.11255325226479274, 'weights3': 0.9214640166241861, 'weights4': 0.4534687404333332} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.6523805761862851, 'weights2': 0.5414727435523066, 'weights3': 0.8065479708678948, 'weights4': 0.37801602311464344} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.06337886137060134, 'weights2': 0.337451507588458, 'weights3': 0.7279468496178131, 'weights4': 0.10119370149216322} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: Testing config: {'weights1': 0.6033354316914399, 'weights2': 0.6888665572741146, 'weights3': 0.6989065101275972, 'weights4': 0.3518090209655593} - Exception Weights: 4 and recommender list: 5 have different lenghts
BayesianSearch: New best config found. Config: {'weights1': 0.021413678074694853, 'weights2': 0.012944699907215362, 'weights3': 0.6070295184442402, 'weights4': 0.9536792785548643, 'weights5': 0.006725516056385827} - MAP results: 0.05651160286238274 - time: 2018-12-15 01:14:06.317725
BayesianSearch: New best config found. Config: {'weights1': 0.03206429006541767, 'weights2': 0.022068399812202766, 'weights3': 0.5048937312439359, 'weights4': 0.5777889378285606, 'weights5': 0.002469536740713263} - MAP results: 0.0572546197879649 - time: 2018-12-15 01:16:25.259701
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5063385510412359, 'weights2': 0.9816857176593201, 'weights3': 0.929215163098626, 'weights4': 0.5527706249653175, 'weights5': 0.9894125514488826} - MAP results: 0.05467988413095762 - time: 2018-12-15 01:18:15.718318
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.010566773655713346, 'weights2': 0.047110085215724684, 'weights3': 0.5842950400708344, 'weights4': 0.6503966900647047, 'weights5': 0.017935050570164424} - MAP results: 0.05641493152246059 - time: 2018-12-15 01:20:10.667346
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.24604359914863716, 'weights2': 0.9710340793230997, 'weights3': 0.33672981694980697, 'weights4': 0.5528295393442655, 'weights5': 0.02620199985917948} - MAP results: 0.05541942604457629 - time: 2018-12-15 01:21:56.059660
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.20029343658490684, 'weights2': 0.6215750035854222, 'weights3': 0.36098295662080704, 'weights4': 0.029568722035187123, 'weights5': 0.9859950543619608} - MAP results: 0.055176954324418596 - time: 2018-12-15 01:23:42.276080
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.2669310266448026, 'weights2': 0.9624965119536772, 'weights3': 0.3793997634433026, 'weights4': 0.02188691980072588, 'weights5': 0.5396353965145324} - MAP results: 0.055246584676702924 - time: 2018-12-15 01:25:29.341240
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.14916258704527696, 'weights2': 0.026680169838443568, 'weights3': 0.41557686034808683, 'weights4': 0.6966683321184081, 'weights5': 0.000589277100983554} - MAP results: 0.04948277045249229 - time: 2018-12-15 01:27:15.593075
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.9999999987623277, 'weights2': 0.0, 'weights3': 0.9999998635810797, 'weights4': 0.9999999544059622, 'weights5': 0.0} - MAP results: 0.03586550052456252 - time: 2018-12-15 01:29:01.920730
BayesianSearch: Config is suboptimal. Config: {'weights1': 1.0, 'weights2': 3.9725361719028577e-07, 'weights3': 0.0, 'weights4': 0.0, 'weights5': 1.0} - MAP results: 0.035451846647456056 - time: 2018-12-15 01:30:52.649785
