BayesianSearch: Config is suboptimal. Config: {'weights1': 0.3, 'weights2': 0.2, 'weights3': 0.8, 'weights4': 0.1, 'weights5': 0.5, 'normalize': True} - MAP results: 0.03756889285714297 - time: 2018-11-30 17:59:47.512351
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.3, 'weights2': 0.2, 'weights3': 0.8, 'weights4': 0.30000000000000004, 'weights5': 0.5, 'normalize': True} - MAP results: 0.037688277777777855 - time: 2018-11-30 18:00:11.885884
BayesianSearch: Config is suboptimal. Config: {'weights1': 0, 'weights2': 0.8, 'weights3': 1.0, 'weights4': 1.0, 'weights5': 1.0, 'normalize': True} - MAP results: 0.036571611111111284 - time: 2018-11-30 18:00:36.541530
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.4, 'weights2': 0.6000000000000001, 'weights3': 1.0, 'weights4': 0.9, 'weights5': 0.7000000000000001, 'normalize': False} - MAP results: 0.03796700793650809 - time: 2018-11-30 18:01:00.282958
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.3, 'weights2': 0.2, 'weights3': 0.6000000000000001, 'weights4': 0.6000000000000001, 'weights5': 0.5, 'normalize': True} - MAP results: 0.03775557142857152 - time: 2018-11-30 18:01:30.885837
BayesianSearch: Config is suboptimal. Config: {'weights1': 0, 'weights2': 0.1, 'weights3': 0.5, 'weights4': 1.0, 'weights5': 0.30000000000000004, 'normalize': False} - MAP results: 0.03751160714285717 - time: 2018-11-30 18:01:57.785499
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.2, 'weights2': 0.4, 'weights3': 0.6000000000000001, 'weights4': 0.0, 'weights5': 1.0, 'normalize': True} - MAP results: 0.03734614285714299 - time: 2018-11-30 18:02:27.227507
BayesianSearch: Config is suboptimal. Config: {'weights1': 0, 'weights2': 1.0, 'weights3': 0.0, 'weights4': 0.0, 'weights5': 0.1, 'normalize': True} - MAP results: 0.03491844047619049 - time: 2018-11-30 18:02:53.118708
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.3, 'weights2': 0.5, 'weights3': 0.7000000000000001, 'weights4': 0.30000000000000004, 'weights5': 0.7000000000000001, 'normalize': True} - MAP results: 0.03774028571428584 - time: 2018-11-30 18:03:22.416204
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.4, 'weights2': 0.30000000000000004, 'weights3': 0.0, 'weights4': 0.0, 'weights5': 1.0, 'normalize': False} - MAP results: 0.035585380952381084 - time: 2018-11-30 18:03:47.643748
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.1, 'weights2': 1.0, 'weights3': 1.0, 'weights4': 0.0, 'weights5': 1.0, 'normalize': True} - MAP results: 0.036568706349206496 - time: 2018-11-30 18:04:12.490730
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.9, 'weights3': 1.0, 'weights4': 0.1, 'weights5': 0.5, 'normalize': True} - MAP results: 0.03741715873015886 - time: 2018-11-30 18:04:37.415954
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.4, 'weights3': 1.0, 'weights4': 0.6000000000000001, 'weights5': 0.6000000000000001, 'normalize': True} - MAP results: 0.037799035714285785 - time: 2018-11-30 18:05:00.885104
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.4, 'weights2': 0.2, 'weights3': 1.0, 'weights4': 0.0, 'weights5': 1.0, 'normalize': True} - MAP results: 0.03680923015873035 - time: 2018-11-30 18:05:24.344759
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5, 'weights2': 0.4, 'weights3': 0.7000000000000001, 'weights4': 0.9, 'weights5': 0.7000000000000001, 'normalize': False} - MAP results: 0.03773439682539701 - time: 2018-11-30 18:05:45.892605
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.1, 'weights2': 0.2, 'weights3': 0.7000000000000001, 'weights4': 0.9, 'weights5': 0.4, 'normalize': False} - MAP results: 0.03811403174603185 - time: 2018-11-30 18:06:09.784802
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.4, 'weights2': 0.4, 'weights3': 0.8, 'weights4': 0.0, 'weights5': 0.5, 'normalize': True} - MAP results: 0.037718190476190676 - time: 2018-11-30 18:06:33.898201
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.1, 'weights2': 0.0, 'weights3': 0.1, 'weights4': 0.0, 'weights5': 0.0, 'normalize': True} - MAP results: 0.016302464285714205 - time: 2018-11-30 18:06:53.946178
BayesianSearch: Best config is: Config {'weights1': 0.2, 'weights2': 0.2, 'weights3': 0.7000000000000001, 'weights4': 0.5, 'weights5': 0.4, 'normalize': True}, MAP value is 0.0382
