BayesianSearch: Config is suboptimal. Config: {'topK': 40, 'shrink': 7, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 0} - MAP results: 0.035289198648903834 - time: 2019-01-08 11:12:07.082705
BayesianSearch: Config is suboptimal. Config: {'topK': 240, 'shrink': 19, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 2} - MAP results: 0.0078019079900478756 - time: 2019-01-08 11:12:27.338992
BayesianSearch: Config is suboptimal. Config: {'topK': 170, 'shrink': 19, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.03573287203955645 - time: 2019-01-08 11:12:46.763465
BayesianSearch: Config is suboptimal. Config: {'topK': 240, 'shrink': 19, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 0} - MAP results: 0.0353302590388006 - time: 2019-01-08 11:13:07.094371
BayesianSearch: Config is suboptimal. Config: {'topK': 40, 'shrink': 14, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.035945333821491454 - time: 2019-01-08 11:13:25.532548
BayesianSearch: Config is suboptimal. Config: {'topK': 180, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 0} - MAP results: 0.03445865384857642 - time: 2019-01-08 11:13:48.000183
BayesianSearch: Config is suboptimal. Config: {'topK': 240, 'shrink': 4, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 0} - MAP results: 0.03529490266754836 - time: 2019-01-08 11:14:11.435909
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 16, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.0356777798248928 - time: 2019-01-08 11:14:35.146590
BayesianSearch: Config is suboptimal. Config: {'topK': 170, 'shrink': 19, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 2} - MAP results: 0.00926624595301082 - time: 2019-01-08 11:14:58.684386
BayesianSearch: Config is suboptimal. Config: {'topK': 240, 'shrink': 16, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.035719127676996615 - time: 2019-01-08 11:15:20.102948
BayesianSearch: Config is suboptimal. Config: {'topK': 210, 'shrink': 1, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 2} - MAP results: 0.007802850781053171 - time: 2019-01-08 11:15:39.997363
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 16, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 0} - MAP results: 0.03539671220710496 - time: 2019-01-08 11:16:02.207605
BayesianSearch: Config is suboptimal. Config: {'topK': 240, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 0} - MAP results: 0.034346325995212854 - time: 2019-01-08 11:16:40.918340
BayesianSearch: Config is suboptimal. Config: {'topK': 40, 'shrink': 0, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 2} - MAP results: 0.008288962522045869 - time: 2019-01-08 11:17:06.163851
BayesianSearch: Config is suboptimal. Config: {'topK': 40, 'shrink': 13, 'similarity': 'cosine', 'normalize': True, 'feature_weighting_index': 2} - MAP results: 0.028608661470143567 - time: 2019-01-08 11:17:30.731205
BayesianSearch: Config is suboptimal. Config: {'topK': 210, 'shrink': 19, 'similarity': 'cosine', 'normalize': False, 'feature_weighting_index': 0} - MAP results: 0.03556806372826894 - time: 2019-01-08 11:17:52.742209
