BayesianSearch: Testing config: {'top1': 350, 'shrink1': -1, 'alphaP3': 0.790184368737475} - Exception fit() got multiple values for keyword argument 'alphaP3'
BayesianSearch: Config is suboptimal. Config: {'top1': 360, 'shrink1': -1, 'alphaP3': 1.1106653306613226} - MAP results: 0.04876023572554748 - time: 2018-12-14 21:37:35.800476
BayesianSearch: Config is suboptimal. Config: {'top1': 370, 'shrink1': -1, 'alphaP3': 0.001} - MAP results: 0.04580712824735156 - time: 2018-12-14 21:38:42.452897
BayesianSearch: Config is suboptimal. Config: {'top1': 490, 'shrink1': -1, 'alphaP3': 0.07711422845691383} - MAP results: 0.04520907799168652 - time: 2018-12-14 21:39:48.229836
BayesianSearch: Config is suboptimal. Config: {'top1': 140, 'shrink1': -1, 'alphaP3': 1.2268396793587175} - MAP results: 0.05132021675985118 - time: 2018-12-14 21:40:49.681393
BayesianSearch: Config is suboptimal. Config: {'top1': 480, 'shrink1': -1, 'alphaP3': 0.29744488977955913} - MAP results: 0.046096489264113874 - time: 2018-12-14 21:41:59.503653
BayesianSearch: Config is suboptimal. Config: {'top1': 180, 'shrink1': -1, 'alphaP3': 1.3269899799599199} - MAP results: 0.050662980975384284 - time: 2018-12-14 21:43:03.636899
BayesianSearch: Config is suboptimal. Config: {'top1': 120, 'shrink1': -1, 'alphaP3': 1.4832244488977957} - MAP results: 0.05106362434411892 - time: 2018-12-14 21:44:07.538383
BayesianSearch: Config is suboptimal. Config: {'top1': 460, 'shrink1': -1, 'alphaP3': 0.9864789579158317} - MAP results: 0.04798728534031278 - time: 2018-12-14 21:45:17.645817
BayesianSearch: Config is suboptimal. Config: {'top1': 590, 'shrink1': -1, 'alphaP3': 1.2028036072144288} - MAP results: 0.047569627474202826 - time: 2018-12-14 21:46:29.088570
BayesianSearch: Config is suboptimal. Config: {'top1': 0, 'shrink1': -1, 'alphaP3': 1.4471703406813627} - MAP results: 8.871968740772341e-05 - time: 2018-12-14 21:47:27.228984
BayesianSearch: Config is suboptimal. Config: {'top1': 0, 'shrink1': -1, 'alphaP3': 0.48572745490981967} - MAP results: 8.871968740772341e-05 - time: 2018-12-14 21:48:18.820208
BayesianSearch: Best config is: Config {'top1': 50, 'shrink1': -1, 'alphaP3': 1.2989478957915832}, MAP value is 0.0524
